0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	5
40	3
41	6
42	5
43	6
44	5
45	0
46	7
47	4
48	2
49	4
50	6
51	4
52	8
53	9
54	5
55	3
56	5
57	4
58	2
59	3
60	2
61	1
62	4
63	5
64	8
65	4
66	8
67	4
68	3
69	5
70	2
71	4
72	2
73	3
74	3
75	6
76	1
77	3
78	1
79	5
80	3
81	5
82	3
83	7
84	3
85	1
86	2
87	7
88	4
89	3
90	3
91	2
92	8
93	3
94	5
95	2
96	5
97	5
98	2
99	5
100	5
101	7
102	6
103	4
104	4
105	1
106	6
107	4
108	4
109	4
110	4
111	1
112	3
113	4
114	4
115	3
116	4
117	6
118	1
119	5
120	2
121	1
122	5
123	3
124	4
125	2
126	4
127	2
128	2
129	4
130	4
131	2
132	2
133	3
134	3
135	5
136	3
137	2
138	3
139	1
140	8
141	4
142	4
143	3
144	3
145	0
146	3
147	5
148	3
149	1
150	3
151	3
152	3
153	4
154	5
155	6
156	3
157	3
158	2
159	4
160	0
161	0
162	1
163	4
164	4
165	2
166	3
167	5
168	2
169	0
170	3
171	3
172	3
173	1
174	6
175	1
176	6
177	6
178	2
179	2
180	1
181	3
182	7
183	3
184	1
185	3
186	2
187	7
188	2
189	4
190	3
191	1
192	1
193	1
194	7
195	2
196	5
197	4
198	5
199	1
200	2
201	4
202	4
203	4
204	7
205	6
206	8
207	6
208	7
209	3
210	8
211	1
212	2
213	4
214	5
215	8
216	2
217	3
218	3
219	3
220	1
221	3
222	5
223	3
224	4
225	7
226	6
227	7
228	4
229	4
230	2
231	6
232	2
233	3
234	6
235	4
236	1
237	3
238	5
239	5
240	3
241	6
242	8
243	4
244	9
245	6
246	2
247	3
248	6
249	2
250	0
251	4
252	4
253	7
254	3
255	6
256	1
257	4
258	3
259	4
260	5
261	3
262	4
263	5
264	4
265	3
266	2
267	8
268	3
269	5
270	8
271	1
272	3
273	6
274	4
275	6
276	3
277	9
278	3
279	6
280	2
281	6
282	6
283	6
284	5
285	2
286	5
287	5
288	9
289	6
290	8
291	2
292	5
293	5
294	4
295	4
296	3
297	5
298	6
299	6
300	3
301	4
302	6
303	4
304	11
305	2
306	1
307	8
308	4
309	3
310	7
311	10
312	7
313	5
314	1
315	8
316	6
317	8
318	2
319	1
320	7
321	5
322	10
323	4
324	3
325	6
326	3
327	4
328	8
329	4
330	2
331	5
332	4
333	3
334	5
335	1
336	6
337	5
338	6
339	3
340	9
341	3
342	4
343	5
344	2
345	6
346	5
347	4
348	7
349	4
350	3
351	7
352	5
353	7
354	5
355	5
356	1
357	1
358	5
359	4
360	4
361	3
362	7
363	4
364	4
365	1
366	6
367	3
368	6
369	6
370	3
371	7
372	9
373	4
374	4
375	3
376	1
377	8
378	3
379	3
380	5
381	5
382	5
383	3
384	5
385	5
386	4
387	1
388	5
389	3
390	3
391	9
392	1
393	1
394	2
395	4
396	3
397	3
398	6
399	3
400	4
401	2
402	2
403	1
404	7
405	6
406	2
407	9
408	5
409	6
410	6
411	5
412	2
413	4
414	5
415	3
416	4
417	4
418	2
419	5
420	3
421	8
422	6
423	1
424	2
425	2
426	4
427	9
428	3
429	3
430	2
431	1
432	2
433	3
434	2
435	2
436	8
437	1
438	7
439	5
440	7
441	2
442	0
443	5
444	7
445	4
446	6
447	4
448	4
449	4
450	3
451	2
452	3
453	3
454	5
455	3
456	3
457	4
458	4
459	3
460	6
461	8
462	7
463	1
464	4
465	5
466	7
467	4
468	2
469	1
470	4
471	4
472	3
473	2
474	2
475	3
476	7
477	1
478	4
479	5
480	2
481	5
482	10
483	4
484	6
485	3
486	3
487	5
488	7
489	5
490	7
491	4
492	5
493	3
494	5
495	1
496	1
497	5
498	2
499	3
500	1
501	3
502	2
503	2
504	4
505	2
506	2
507	0
508	5
509	6
510	4
511	4
512	6
513	1
514	3
515	5
516	1
517	2
518	3
519	2
520	2
521	4
522	3
523	0
524	2
525	3
526	6
527	3
528	4
529	5
530	2
531	3
532	4
533	10
